id,name,mpName,house,totalMPs,totalAllocated,totalExpenditure,utilizationPercentage,totalWorksCompleted,totalWorksRecommended,state
BAHRAICH,BAHRAICH,ANAND KUMAR,Lok Sabha,1,147000000.0,66987751.0,45.56989863945578,32,79,Uttar Pradesh
MEERUT,MEERUT,ARUN GOVIL,Lok Sabha,1,147000000.0,66737649.0,45.3997612244898,36,196,Uttar Pradesh
LOHARDAGA,LOHARDAGA,SUKHDEO BHAGAT,Lok Sabha,1,171821957.11,138586757.0,80.65718685259597,80,204,Jharkhand
RANCHI,RANCHI,Sanjay Seth ,Lok Sabha,1,147064357.11,88234955.0,59.997511792747126,49,101,Jharkhand
DUMKA,DUMKA,NALIN SOREN,Lok Sabha,1,147364097.11,86550781.0,58.73261038297145,106,319,Jharkhand
Sitting Rajya Sabha,Sitting Rajya Sabha,Shri Aditya Prasad (2022-28),Rajya Sabha,5,866281611.5799999,506281517.0,58.44306403740922,335,958,Jharkhand
PALAMU,PALAMU,Vishnu Dayal Ram,Lok Sabha,1,158176083.11,83852477.0,53.01210862686913,117,154,Jharkhand
KHUNTI,KHUNTI,KALI CHARAN MUNDA,Lok Sabha,1,147000000.0,77772545.0,52.90649319727891,31,274,Jharkhand
JAMSHEDPUR,JAMSHEDPUR,Bidyut Baran Mahato,Lok Sabha,1,147000000.0,75745972.0,51.52787210884354,2,176,Jharkhand
SINGHBHUM,SINGHBHUM,JOBA MAJHI,Lok Sabha,1,147000000.0,59054467.0,40.17310680272109,0,118,Jharkhand
GIRIDIH,GIRIDIH,Shri Chandra Prakash Choudhary,Lok Sabha,1,147000000.0,55034366.0,37.438344217687074,49,625,Jharkhand
DHANBAD,DHANBAD,DULU MAHATO,Lok Sabha,1,147000000.0,50907360.0,34.63085714285714,57,322,Jharkhand
CHATRA,CHATRA,KALI CHARAN SINGH,Lok Sabha,1,147000000.0,49787316.0,33.868922448979596,75,429,Jharkhand
KODARMA,KODARMA,Annpurna Devi ,Lok Sabha,1,166665931.8,42079828.0,25.24800812351742,85,303,Jharkhand
RAJMAHAL,RAJMAHAL,Vijay Kumar Hansdak,Lok Sabha,1,147223957.11,28886697.0,19.62092146349319,0,468,Jharkhand
GODDA,GODDA,Nishikant Dubey,Lok Sabha,1,147000000.0,1785510.0,1.2146326530612244,0,2,Jharkhand
HAZARIBAGH,HAZARIBAGH,MANISH JAISWAL,Lok Sabha,1,147000000.0,0.0,0.0,0,164,Jharkhand
SIWAN,SIWAN,VIJAYLAKSHMI DEVI,Lok Sabha,1,147000000.0,134748616.0,91.66572517006803,95,87,Bihar
VAISHALI,VAISHALI,Smt Veena Devi ,Lok Sabha,1,147000000.0,131108889.0,89.18972040816327,30,29,Bihar
ARARIA,ARARIA,Pradeep Kumar Singh,Lok Sabha,1,147000000.0,118278146.0,80.4613238095238,39,47,Bihar
BANKA,BANKA,Giridhari Yadav,Lok Sabha,1,147000000.0,114805889.0,78.09924421768707,85,35,Bihar
JHANJHARPUR,JHANJHARPUR,Ramprit Mandal,Lok Sabha,1,147000000.0,107510581.0,73.13644965986394,90,91,Bihar
JAMUI,JAMUI,ARUN BHARTI,Lok Sabha,1,194924621.11,132883940.0,68.17196270193637,218,110,Bihar
BUXAR,BUXAR,SUDHAKAR SINGH,Lok Sabha,1,185211956.54,123581875.0,66.72456644196735,98,106,Bihar
MUZAFFARPUR,MUZAFFARPUR,RAJ BHUSHAN CHOUDHARY,Lok Sabha,1,147000000.0,96375137.0,65.56131768707483,77,43,Bihar
SASARAM,SASARAM,MANOJ KUMAR,Lok Sabha,1,147000000.0,95686097.0,65.09258299319728,82,112,Bihar
MADHEPURA,MADHEPURA,Dinesh Chandra Yadav,Lok Sabha,1,150070866.11,92486814.0,61.628760063401224,105,51,Bihar
KISHANGANJ,KISHANGANJ,Dr Mohammad Jawed,Lok Sabha,1,148669229.11,89065400.0,59.90842929178083,130,74,Bihar
SUPAUL,SUPAUL,Dileshwar Kamait ,Lok Sabha,1,150450930.89,89329681.0,59.37462830676142,46,85,Bihar
KATIHAR,KATIHAR,TARIQ ANWAR,Lok Sabha,1,147000000.0,79735060.0,54.24153741496599,60,26,Bihar
DARBHANGA,DARBHANGA,Mr Gopal Jee Thakur,Lok Sabha,1,147000000.0,75767756.0,51.54269115646258,59,120,Bihar
BHAGALPUR,BHAGALPUR,Ajay Kumar Mandal,Lok Sabha,1,147000000.0,75252620.0,51.192258503401355,38,36,Bihar
KHAGARIA,KHAGARIA,RAJESH VERMA,Lok Sabha,1,147000000.0,74186362.0,50.46691292517007,67,9,Bihar
AURANGABAD,AURANGABAD,ABHAY KUMAR SINHA,Lok Sabha,1,147000000.0,73566109.0,50.04497210884353,124,147,Bihar
PURNEA,PURNEA,RAJESH RANJAN ALIAS PAPPU YADAV,Lok Sabha,1,147000000.0,72622818.0,49.40327755102041,46,125,Bihar
KARAKAT,KARAKAT,RAJA RAM SINGH,Lok Sabha,1,147000000.0,71841783.0,48.871961224489795,114,212,Bihar
MADHUBANI,MADHUBANI,Ashok Kumar Yadav ,Lok Sabha,1,147000000.0,70438959.0,47.917659183673464,81,108,Bihar
PURVI CHAMPARAN,PURVI CHAMPARAN,Radha Mohan Singh,Lok Sabha,1,147000000.0,69803891.0,47.48564013605442,60,64,Bihar
Sitting Rajya Sabha,Sitting Rajya Sabha,Dr. Dharmshila Gupta (2024-30),Rajya Sabha,15,2514024157.4700003,1171952567.0,46.61659926845731,1167,639,Bihar
JAHANABAD,JAHANABAD,SURENDRA PRASAD YADAV,Lok Sabha,1,155325714.0,70973331.0,45.69322694373708,141,161,Bihar
VALMIKI NAGAR,VALMIKI NAGAR,Sunil Kumar ,Lok Sabha,1,147000000.0,63664429.0,43.30913537414966,79,183,Bihar
GAYA,GAYA,JITAN RAM MANJHI,Lok Sabha,1,147000000.0,61088844.0,41.557036734693874,152,108,Bihar
ARRAH,ARRAH,SUDAMA PRASAD,Lok Sabha,1,147000000.0,57716958.0,39.263236734693876,66,153,Bihar
PATNA SAHIB,PATNA SAHIB,Ravi Shankar Prasad,Lok Sabha,1,147000000.0,56647683.0,38.53583877551021,60,24,Bihar
HAJIPUR,HAJIPUR,CHIRAG PASWAN,Lok Sabha,1,147000000.0,52494828.0,35.71076734693877,47,66,Bihar
GOPALGANJ,GOPALGANJ,Alok Kumar Suman,Lok Sabha,1,147000000.0,50920280.0,34.639646258503404,43,112,Bihar
MAHARAJGANJ,MAHARAJGANJ,Shri Janardan Singh Sigriwal ,Lok Sabha,1,147000000.0,47230253.0,32.12942380952381,18,56,Bihar
NALANDA,NALANDA,Kaushalendra Kumar,Lok Sabha,1,147000000.0,44912846.0,30.552956462585033,92,74,Bihar
SHEOHAR,SHEOHAR,LOVELY ANAND,Lok Sabha,1,147000000.0,43561211.0,29.6334768707483,24,67,Bihar
