workId,state,state_hi,district,district_hi,location,location_hi,category,category_hi,estimated_cost,status,status_hi,recommended_date,recommended_year,house,lsTerm,expected_beneficiaries,hasPayments,totalPaid,paymentCount,work_description,work_description_hi,mp_id,mp_name,mp_house,mp_constituency
199561,Andhra Pradesh,Andhra Pradesh,BAPATLA,BAPATLA,Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Bapatla(DISTRICT COLLECTOR BAPATLA_IDA),Normal/Others,Normal/Others,2000000,Recommended,Recommended,2025-05-14T00:00:00.000Z,2025,Lok Sabha,18,0,True,953465,1,"Providing additional amenities to the Community Hall in Rachapudi Village, Korisapadu Mandal, Bapatla district","Providing additional amenities to the Community Hall in Rachapudi Village, Korisapadu Mandal, Bapatla district",,Krishna Prasad Tenneti,,BAPATLA
251446,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,900000,Recommended,Recommended,2025-11-30T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Construction of Bus Shelter building at Vaddinavalasa village of Saravakota mandal,Construction of Bus Shelter building at Vaddinavalasa village of Saravakota mandal,,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
161717,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,90000,Recommended,Recommended,2024-12-27T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,Providing street lights and fixtures at Rapallevada in Satyavedu Mandal.,Providing street lights and fixtures at Rapallevada in Satyavedu Mandal.,,Maddila Gurumoorthy,,TIRUPATI
251449,Andhra Pradesh,Andhra Pradesh,SRIKAKULAM,SRIKAKULAM,SRIKAKULAM(District Collector Srikakulam_IDA),SRIKAKULAM(District Collector Srikakulam_IDA),Normal/Others,Normal/Others,400000,Recommended,Recommended,2025-11-30T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Construction of Bus Shelter at Vastrapuri Colony to Boravanipeta GP, Gara mandal","Construction of Bus Shelter at Vastrapuri Colony to Boravanipeta GP, Gara mandal",,Kinjarapu Ram Mohan Naidu,,SRIKAKULAM
200753,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-05-20T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Construction of Bus Shelter at Garalamadugu V and G.P,Construction of Bus Shelter at Garalamadugu V and G.P,,Midhun Reddy,,RAJAMPET
251527,Andhra Pradesh,Andhra Pradesh,GUNTUR,GUNTUR,GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),GUNTUR(DISTRICT COLLECTOR GUNTUR_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2026-05-15T00:00:00.000Z,2026,Lok Sabha,18,0,True,288231,1,"Providing of Internal CC Roads in Pedaitikampadu (V), Ponnur (M)","Providing of Internal CC Roads in Pedaitikampadu (V), Ponnur (M)",,Dr Chandra Sekhar Pemmasani,,GUNTUR
142933,Andhra Pradesh,Andhra Pradesh,CHITTOOR,CHITTOOR,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),Normal/Others,Normal/Others,350000,Recommended,Recommended,2024-09-23T00:00:00.000Z,2024,Lok Sabha,18,0,True,317387,2,"Construction of Bus Shelter in Thotavaripalli Village of Ayyappagari (GP), Puthalapattu Mandal of Puthalapattu Constituency","Construction of Bus Shelter in Thotavaripalli Village of Ayyappagari (GP), Puthalapattu Mandal of Puthalapattu Constituency",,DAGGUMALLA PRASADA RAO,,CHITTOOR
251880,Andhra Pradesh,Andhra Pradesh,VIJAYAWADA,VIJAYAWADA,NTR(DISTRICT COLLECTOR NTR_IDA),NTR(DISTRICT COLLECTOR NTR_IDA),Normal/Others,Normal/Others,7500000,Recommended,Recommended,2025-12-02T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"construction of community hall at60th Division , vambay colony","construction of community hall at60th Division , vambay colony",,Sivanath Kesineni,,VIJAYAWADA
201291,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-05-20T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Construction of Community Hall in Kottapalli Village, Bandrevu G.P","Construction of Community Hall in Kottapalli Village, Bandrevu G.P",,Midhun Reddy,,RAJAMPET
251883,Andhra Pradesh,Andhra Pradesh,VIJAYAWADA,VIJAYAWADA,NTR(DISTRICT COLLECTOR NTR_IDA),NTR(DISTRICT COLLECTOR NTR_IDA),Normal/Others,Normal/Others,2000000,Recommended,Recommended,2025-12-02T00:00:00.000Z,2025,Lok Sabha,18,0,True,1396663,1,Construction of culvert and retaining wall across Mangala vagu,Construction of culvert and retaining wall across Mangala vagu,,Sivanath Kesineni,,VIJAYAWADA
161719,Andhra Pradesh,Andhra Pradesh,TIRUPATI,TIRUPATI,Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA),Normal/Others,Normal/Others,180000,Recommended,Recommended,2024-12-27T00:00:00.000Z,2024,Lok Sabha,18,0,False,0,0,Providing street lights and fixtures at Rajagopala Puram in Satyavedu Mandal.,Providing street lights and fixtures at Rajagopala Puram in Satyavedu Mandal.,,Maddila Gurumoorthy,,TIRUPATI
252022,Andhra Pradesh,Andhra Pradesh,KADAPA,KADAPA,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,700000,Recommended,Recommended,2025-12-03T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,Construction of CC Drain with Cover slab from meegada Krishna Reddy House to Wellness Center Thripuravaram Village and GP of Khajipeta Mandal,Construction of CC Drain with Cover slab from meegada Krishna Reddy House to Wellness Center Thripuravaram Village and GP of Khajipeta Mandal,,Y S Avinash Reddy,,KADAPA
201307,Andhra Pradesh,Andhra Pradesh,RAJAMPET,RAJAMPET,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-05-20T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,"Formation of Road from Balasanivandlapalli Village to Peddoota Vanka, Veeraballi (V and G.P) Reach 2","Formation of Road from Balasanivandlapalli Village to Peddoota Vanka, Veeraballi (V and G.P) Reach 2",,Midhun Reddy,,RAJAMPET
252024,Andhra Pradesh,Andhra Pradesh,KADAPA,KADAPA,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Normal/Others,Normal/Others,493000,Recommended,Recommended,2025-12-03T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,leveling the ground in panchyat complex east  side in Nandipalli Gp of vempalli m in YSR kadapa dist,leveling the ground in panchyat complex east  side in Nandipalli Gp of vempalli m in YSR kadapa dist,,Y S Avinash Reddy,,KADAPA
1490,Andhra Pradesh,Andhra Pradesh,ARAKU,ARAKU,"EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)","EAST GODAVARI(DISTRICT COLLECTOR, EAST GODAVARI)",Normal/Others,Normal/Others,500000,Recommended,Recommended,2025-08-07T00:00:00.000Z,2025,Lok Sabha,18,0,False,0,0,construction of cc road from nh16 road to kallepali venkataraju site of konthamuru,construction of cc road from nh16 road to kallepali venkataraju site of konthamuru,,Gumma Thanuja Rani,,ARAKU
