id,name,constituency,state,house,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completedWorksValue,inProgressPayments,paymentGapPercentage,completionRate,pendingWorks,unspentAmount,totalRecommendedAmount,name_hi,constituency_hi,state_hi
6a932b5bcd944524379ede61,Giridhari Yadav,BANKA,Bihar,Lok Sabha,147000000.0,114805889.0,78.09924421768707,85,35,97151866.0,17654023.0,15.37727999301499,70.83333333333334,-50,32194111.0,40070899.0,Giridhari Yadav,BANKA,Bihar
6a932b5ecd944524379ee2bf,Smt. Mahua Maji (2022-28),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,232524001.2,163193927.0,70.18369121372233,150,315,81123339.0,82070588.0,50.2902218904261,32.25806451612903,165,69330074.19999999,118420476.0,Smt. Mahua Maji (2022-28),Sitting Rajya Sabha,Jharkhand
6a932b5bcd944524379edef8,Pradeep Kumar Singh,ARARIA,Bihar,Lok Sabha,147000000.0,118278146.0,80.4613238095238,39,47,94498127.0,23780019.0,20.10516718785903,45.348837209302324,8,28721854.0,38113300.0,Pradeep Kumar Singh,ARARIA,Bihar
6a932b5ecd944524379ee223,Shri Baburam Nishad (2022-28),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,196063957.11,136082109.32,69.40699929036538,436,213,113334752.32,22747357.0,16.71590564966119,67.18027734976889,-223,59981847.79000002,73829823.98,Shri Baburam Nishad (2022-28),Sitting Rajya Sabha,Uttar Pradesh
6a932b5ecd944524379ee2ce,Smt. Seema Dwivedi (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,173830159.11,135282718.4,77.82465315146658,210,198,104021540.4,31261178.0,23.108035061483506,51.470588235294116,-12,38547440.71000001,69381598.0,Smt. Seema Dwivedi (2020-26),Sitting Rajya Sabha,Uttar Pradesh
6a932b5bcd944524379edddb,ARUN BHARTI,JAMUI,Bihar,Lok Sabha,194924621.11,132883940.0,68.17196270193637,218,110,112774852.0,20109088.0,15.132820414566275,66.46341463414635,-108,62040681.110000014,34657007.0,ARUN BHARTI,JAMUI,Bihar
6a932b5bcd944524379ede03,Bhola Singh,BULANDSHAHR,Uttar Pradesh,Lok Sabha,147000000.0,101017522.0,68.71940272108844,142,148,70121237.0,30896285.0,30.58507513181723,48.96551724137931,6,45982478.0,64320879.0,Bhola Singh,BULANDSHAHR,Uttar Pradesh
6a932b5bcd944524379edf9e,SUKHDEO BHAGAT,LOHARDAGA,Jharkhand,Lok Sabha,171821957.11,138586757.0,80.65718685259597,80,204,45856503.0,92730254.0,66.91133843329634,28.169014084507044,124,33235200.110000014,113007587.0,SUKHDEO BHAGAT,LOHARDAGA,Jharkhand
6a932b5bcd944524379edefa,Pradyut Bordoloi,NOWGONG,Assam,Lok Sabha,98000000.0,67647652.0,69.02821632653061,13,202,6630634.0,61017018.0,90.19827916569817,6.046511627906977,189,30352348.0,90758000.0,Pradyut Bordoloi,NOWGONG,Assam
6a932b5ecd944524379ee2a5,Shri Satish Chandra Dubey (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235263957.11,159342825.0,67.7293823318196,162,92,128859487.0,30483338.0,19.13066245687561,63.77952755905512,-70,75921132.11000001,97836407.0,Shri Satish Chandra Dubey (2022-28),Sitting Rajya Sabha,Bihar
6a932b5ecd944524379ee21c,Shri Arun Singh (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,223492764.11,151462382.0,67.77059767601797,46,65,50601635.0,100860747.0,66.5912853529532,41.44144144144144,19,72030382.11000001,170916000.0,Shri Arun Singh (2020-26),Sitting Rajya Sabha,Uttar Pradesh
6a932b5ecd944524379ee23b,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,196063957.11,134033715.0,68.36224106443058,156,29,133429060.0,604655.0,0.4511215704198007,84.32432432432432,-127,62030242.110000014,13559003.89,Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir
6a932b5ecd944524379ee205,Dr. Sandeep Kumar Pathak (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,232203454.24,159803697.0,68.82055115116017,157,121,80659922.0,79143775.0,49.52562205115943,56.4748201438849,-36,72399757.24000001,124695523.0,Dr. Sandeep Kumar Pathak (2022-28),Sitting Rajya Sabha,Punjab
6a932b5bcd944524379edf9b,SUDHAKAR SINGH,BUXAR,Bihar,Lok Sabha,185211956.54,123581875.0,66.72456644196735,98,106,97184694.0,26397181.0,21.360074849163762,48.03921568627451,8,61630081.53999999,87004800.0,SUDHAKAR SINGH,BUXAR,Bihar
6a932b5bcd944524379eddd5,ANOOP PRADHAN BALMIKI,HATHRAS,Uttar Pradesh,Lok Sabha,147000000.0,97915147.0,66.60894353741497,69,37,94261505.0,3653642.0,3.731436975731651,65.09433962264151,-32,49084853.0,52663000.0,ANOOP PRADHAN BALMIKI,HATHRAS,Uttar Pradesh
6a932b5bcd944524379ede43,DR. LATA WANKHEDE,SAGAR,Madhya Pradesh,Lok Sabha,147000000.0,99315853.0,67.56180476190477,103,155,78629489.0,20686364.0,20.828864048522043,39.922480620155035,52,47684147.0,71512932.0,DR. LATA WANKHEDE,SAGAR,Madhya Pradesh
6a932b5ecd944524379ee2cb,Smt. Sadhna Singh (2024-30),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,101298179.0,68.91032585034014,5,13,82840596.0,18457583.0,18.22104126866881,27.77777777777778,8,45701821.0,37556200.0,Smt. Sadhna Singh (2024-30),Sitting Rajya Sabha,Uttar Pradesh
6a932b5ecd944524379ee216,Shri Aditya Prasad (2022-28),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,227628508.2,159474868.0,70.05926861317452,141,85,115687342.0,43787526.0,27.45732073595446,62.38938053097345,-56,68153640.19999999,68485750.0,Shri Aditya Prasad (2022-28),Sitting Rajya Sabha,Jharkhand
6a932b5bcd944524379edee3,NEERAJ MAURYA,AONLA,Uttar Pradesh,Lok Sabha,147000000.0,97488644.0,66.31880544217688,17,19,96558369.0,930275.0,0.9542393470976988,47.22222222222222,2,49511356.0,50352260.0,NEERAJ MAURYA,AONLA,Uttar Pradesh
6a932b5ecd944524379ee2a3,Shri Sant Balbir Singh (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,196359074.44000003,131641205.41,67.0410602542459,206,165,98971956.0,32669249.409999996,24.81688716557309,55.525606469002696,-41,64717869.03000003,76622334.0,Shri Sant Balbir Singh (2022-28),Sitting Rajya Sabha,Punjab
6a932b5bcd944524379edf1e,Rajkumar Chahar ,FATEHPUR SIKRI,Uttar Pradesh,Lok Sabha,147000000.0,96369831.0,65.5577081632653,45,5,95259092.0,1110739.0,1.1525795868626147,90.0,-40,50630169.0,11718000.0,Rajkumar Chahar ,FATEHPUR SIKRI,Uttar Pradesh
6a932b5ecd944524379ee246,Shri Jaggesh (2022-28),Sitting Rajya Sabha,Karnataka,Rajya Sabha,196063957.11,130587101.0,66.60433815825478,126,82,117216640.0,13370461.0,10.238730240286136,60.57692307692307,-44,65476856.110000014,78100000.0,Shri Jaggesh (2022-28),Sitting Rajya Sabha,Karnataka
6a932b5bcd944524379ede3d,DR RANI SRI KUMAR,TENKASI,Tamil Nadu,Lok Sabha,153060922.82,99919930.0,65.28114959656037,102,58,86705685.0,13214245.0,13.224834124683635,63.74999999999999,-44,53140992.81999999,34843098.0,DR RANI SRI KUMAR,TENKASI,Tamil Nadu
6a932b5bcd944524379edf7f,Shri Tapir Gao,ARUNACHAL EAST,Arunachal Pradesh,Lok Sabha,147000000.0,98534470.0,67.03025170068028,106,58,94063491.0,4470979.0,4.537477087967287,64.63414634146342,-48,48465530.0,39300000.0,Shri Tapir Gao,ARUNACHAL EAST,Arunachal Pradesh
6a932b5bcd944524379edf34,RICHARD VANLALHMANGAIHA,MIZORAM,Mizoram,Lok Sabha,147000000.0,96361729.0,65.55219659863945,134,132,70434229.0,25927500.0,26.90642879602129,50.37593984962406,-2,50638271.0,52960000.0,RICHARD VANLALHMANGAIHA,MIZORAM,Mizoram
6a932b5bcd944524379ede96,KAMLESH JANGDE,JANJGIR CHAMPA,Chhattisgarh,Lok Sabha,150384382.11,99411941.0,66.10522954922556,254,90,78661679.0,20750262.0,20.873007599761078,73.83720930232558,-164,50972441.110000014,36000000.0,KAMLESH JANGDE,JANJGIR CHAMPA,Chhattisgarh
6a932b5bcd944524379edf3f,SALENG A SANGMA,TURA,Meghalaya,Lok Sabha,147000000.0,97120000.0,66.06802721088435,130,218,51050000.0,46070000.0,47.43616144975288,37.35632183908046,88,49880000.0,89470000.0,SALENG A SANGMA,TURA,Meghalaya
6a932b5bcd944524379ede1a,CHHATRA PAL SINGH GANGWAR,BAREILLY,Uttar Pradesh,Lok Sabha,147000000.0,95712065.0,65.11024829931972,142,44,93623211.0,2088854.0,2.1824354118783247,76.34408602150538,-98,51287935.0,19418646.0,CHHATRA PAL SINGH GANGWAR,BAREILLY,Uttar Pradesh
6a932b5bcd944524379edf13,RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,Bihar,Lok Sabha,147000000.0,96375137.0,65.56131768707483,77,43,86773068.0,9602069.0,9.963222153448145,64.16666666666667,-34,50624863.0,42048317.0,RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,Bihar
6a932b5bcd944524379eddce,ANDREW J. SYNGKON,SHILLONG,Meghalaya,Lok Sabha,98000000.0,70505000.0,71.9438775510204,98,146,36350000.0,34155000.0,48.44337281043898,40.16393442622951,48,27495000.0,62550000.0,ANDREW J. SYNGKON,SHILLONG,Meghalaya
6a932b5bcd944524379eddc0,AKSHAYA YADAV,FIROZABAD,Uttar Pradesh,Lok Sabha,147000000.0,95931875.0,65.25977891156462,37,6,87311813.0,8620062.0,8.98560775550358,86.04651162790698,-31,51068125.0,10297000.0,AKSHAYA YADAV,FIROZABAD,Uttar Pradesh
6a932b5bcd944524379ede9c,KARAN BHUSHAN SINGH,KAISERGANJ,Uttar Pradesh,Lok Sabha,147000000.0,95454825.0,64.93525510204081,33,75,46122700.0,49332125.0,51.68112245766518,30.555555555555557,42,51545175.0,95762209.0,KARAN BHUSHAN SINGH,KAISERGANJ,Uttar Pradesh
6a932b5ecd944524379ee1fb,Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh,Rajya Sabha,197118521.35000002,127377000.12,64.61949858777184,142,75,85554362.0,41822638.120000005,32.8337439887888,65.43778801843318,-67,69741521.23000002,63346885.0,Dr. Kavita Patidar (2022-28),Sitting Rajya Sabha,Madhya Pradesh
