house,cand_id,candidate_name,constituency,party,criminal_cases,education,total_assets_raw,total_assets_num,liabilities_raw,liabilities_num
Lok Sabha,587,Bunty Vivek Sahu,CHHINDWARA,BJP,1,Graduate,"Rs 36,77,31,210 ~ 36 Crore+",367731210.0,"Rs 1,22,41,255 ~ 1 Crore+",12241255.0
Lok Sabha,1155,C N Annadurai,TIRUVANNAMALAI,DMK,0,Graduate,"Rs 20,36,86,311 ~ 20 Crore+",203686311.0,"Rs 1,91,56,956 ~ 1 Crore+",19156956.0
Lok Sabha,5139,C R Patil,NAVSARI,BJP,0,Others,"Rs 39,49,30,044 ~ 39 Crore+",394930044.0,"Rs 2,75,82,988 ~ 2 Crore+",27582988.0
Lok Sabha,1889,Captain Brijesh Chowta,DAKSHINA KANNADA,BJP,1,Graduate,"Rs 70,56,365 ~ 70 Lacs+",7056365.0,"Rs 9,62,010 ~ 9 Lacs+",962010.0
Lok Sabha,3876,Captain Viriato Fernandes,SOUTH GOA,INC,1,Graduate Professional,"Rs 5,27,28,999 ~ 5 Crore+",52728999.0,"Rs 3,79,840 ~ 3 Lacs+",379840.0
Lok Sabha,5299,Chamala Kiran Kumar Reddy,BHONGIR,INC,3,12th Pass,"Rs 28,72,11,468 ~ 28 Crore+",287211468.0,"Rs 73,48,373 ~ 73 Lacs+",7348373.0
Lok Sabha,869,Chandan Chauhan,BIJNOR,Rashtriya Lok Dal,3,Graduate Professional,"Rs 7,84,26,582 ~ 7 Crore+",78426582.0,"Rs 25,72,810 ~ 25 Lacs+",2572810.0
Lok Sabha,8523,Chandra Prakash Choudhary,GIRIDIH,AJSU Party,2,Graduate,"Rs 4,98,49,182 ~ 4 Crore+",49849182.0,"Rs 2,70,31,670 ~ 2 Crore+",27031670.0
Lok Sabha,2025,Chandra Prakash Joshi,CHITTORGARH,BJP,0,Graduate Professional,"Rs 4,09,73,304 ~ 4 Crore+",40973304.0,"Rs 86,27,349 ~ 86 Lacs+",8627349.0
Lok Sabha,39,Chandrashekhar,NAGINA (SC),Aazad Samaj Party (Kanshi Ram),36,Graduate Professional,"Rs 39,86,581 ~ 39 Lacs+",3986581.0,Rs 0 ~,0.0
Lok Sabha,3501,Chandubhai Chhaganbhai Shihora,SURENDRANAGAR,BJP,0,12th Pass,"Rs 58,08,789 ~ 58 Lacs+",5808789.0,"Rs 2,66,907 ~ 2 Lacs+",266907.0
Lok Sabha,3769,Chavda Vinod Lakhamshi,KACHCHH (SC),BJP,0,Post Graduate,"Rs 7,09,80,147 ~ 7 Crore+",70980147.0,"Rs 1,56,05,895 ~ 1 Crore+",15605895.0
Lok Sabha,3486,Chhatra Pal Singh Gangwar,BAREILLY,BJP,2,Post Graduate,"Rs 4,87,88,862 ~ 4 Crore+",48788862.0,"Rs 70,44,201 ~ 70 Lacs+",7044201.0
Lok Sabha,3847,Chhatrapati Shahu Shahaji,KOLHAPUR,INC,1,Graduate,"Rs 3,42,86,68,000 ~ 342 Crore+",3428668000.0,Rs 0 ~,0.0
Lok Sabha,9098,Chhotelal,ROBERTSGANJ (SC),SP,0,5th Pass,"Rs 1,99,97,783 ~ 1 Crore+",19997783.0,"Rs 69,54,692 ~ 69 Lacs+",6954692.0
Lok Sabha,3450,Chintamani Maharaj,SURGUJA (ST),BJP,0,12th Pass,"Rs 4,12,98,468 ~ 4 Crore+",41298468.0,"Rs 35,02,648 ~ 35 Lacs+",3502648.0
Lok Sabha,7281,Chirag Paswan,HAJIPUR (SC),Lok Janshakti Party(Ram Vilas),0,12th Pass,"Rs 2,68,75,873 ~ 2 Crore+",26875873.0,Rs 0 ~,0.0
Lok Sabha,3766,Chudasama Rajeshbhai Naranbhai,JUNAGADH,BJP,1,12th Pass,"Rs 3,34,52,812 ~ 3 Crore+",33452812.0,"Rs 9,89,043 ~ 9 Lacs+",989043.0
Lok Sabha,3603,Dabhi Bharatsinhji Shankarji,PATAN,BJP,0,Graduate,"Rs 6,84,30,049 ~ 6 Crore+",68430049.0,"Rs 29,57,861 ~ 29 Lacs+",2957861.0
Lok Sabha,5104,Daggumalla Prasada Rao,CHITTOOR (SC),TDP,0,Graduate,"Rs 38,44,93,765 ~ 38 Crore+",384493765.0,"Rs 8,02,79,565 ~ 8 Crore+",80279565.0
