id,mpName,house,state,constituency,party,criminal_cases,education,total_assets_raw,total_assets_inr,liabilities_raw,liabilities_inr,allocatedAmount,totalExpenditure,utilizationPercentage,completedWorksCount,recommendedWorksCount,completionRate,unspentAmount
6a932b5ecd944524379ee223,Shri Baburam Nishad (2022-28),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,136082109.32,69.41,436,213,67.18,59981847.79
6a932b5bcd944524379edefa,Pradyut Bordoloi,Lok Sabha,Assam,NOWGONG,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,98000000.0,67647652.0,69.03,13,202,6.05,30352348.0
6a932b5ecd944524379ee2cb,Smt. Sadhna Singh (2024-30),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,101298179.0,68.91,5,13,27.78,45701821.0
6a932b5ecd944524379ee205,Dr. Sandeep Kumar Pathak (2022-28),Rajya Sabha,Punjab,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,232203454.24,159803697.0,68.82,157,121,56.47,72399757.24
6a932b5bcd944524379ede03,Bhola Singh,Lok Sabha,Uttar Pradesh,BULANDSHAHR,BJP,1,Graduate,"Rs 3,60,17,232 ~ 3 Crore+",36017232.0,"Rs 66,42,427 ~ 66 Lacs+",6642427.0,147000000.0,101017522.0,68.72,142,148,48.97,45982478.0
6a932b5ecd944524379ee23b,Shri Gulam Ali (2022-28),Rajya Sabha,Jammu And Kashmir,Nominated Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,134033715.0,68.36,156,29,84.32,62030242.11
6a932b5bcd944524379edddb,ARUN BHARTI,Lok Sabha,Bihar,JAMUI,Lok Janshakti Party(Ram Vilas),0,Post Graduate,"Rs 6,48,70,319 ~ 6 Crore+",64870319.0,"Rs 3,12,04,393 ~ 3 Crore+",31204393.0,194924621.11,132883940.0,68.17,218,110,66.46,62040681.11
6a932b5ecd944524379ee21c,Shri Arun Singh (2020-26),Rajya Sabha,Uttar Pradesh,Sitting Rajya Sabha,BJP,6,12th Pass,"Rs 66,75,69,871 ~ 66 Crore+",667569871.0,"Rs 1,61,32,436 ~ 1 Crore+",16132436.0,223492764.11,151462382.0,67.77,46,65,41.44,72030382.11
6a932b5ecd944524379ee2a5,Shri Satish Chandra Dubey (2022-28),Rajya Sabha,Bihar,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,235263957.11,159342825.0,67.73,162,92,63.78,75921132.11
6a932b5bcd944524379ede43,DR. LATA WANKHEDE,Lok Sabha,Madhya Pradesh,SAGAR,BJP,0,Doctorate,"Rs 17,34,10,882 ~ 17 Crore+",173410882.0,"Rs 1,38,00,070 ~ 1 Crore+",13800070.0,147000000.0,99315853.0,67.56,103,155,39.92,47684147.0
6a932b5ecd944524379ee2a3,Shri Sant Balbir Singh (2022-28),Rajya Sabha,Punjab,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196359074.44000003,131641205.41,67.04,206,165,55.53,64717869.03
6a932b5bcd944524379edf7f,Shri Tapir Gao,Lok Sabha,Arunachal Pradesh,ARUNACHAL EAST,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,98534470.0,67.03,106,58,64.63,48465530.0
6a932b5bcd944524379edf9b,SUDHAKAR SINGH,Lok Sabha,Bihar,BUXAR,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,185211956.54,123581875.0,66.72,98,106,48.04,61630081.54
6a932b5bcd944524379eddd5,ANOOP PRADHAN BALMIKI,Lok Sabha,Uttar Pradesh,HATHRAS,BJP,1,12th Pass,"Rs 4,13,63,952 ~ 4 Crore+",41363952.0,"Rs 1,71,00,000 ~ 1 Crore+",17100000.0,147000000.0,97915147.0,66.61,69,37,65.09,49084853.0
6a932b5ecd944524379ee246,Shri Jaggesh (2022-28),Rajya Sabha,Karnataka,Sitting Rajya Sabha,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,196063957.11,130587101.0,66.6,126,82,60.58,65476856.11
6a932b5bcd944524379edee3,NEERAJ MAURYA,Lok Sabha,Uttar Pradesh,AONLA,BJP,1,Graduate,"Rs 10,92,59,962 ~ 10 Crore+",109259962.0,"Rs 3,72,01,641 ~ 3 Crore+",37201641.0,147000000.0,97488644.0,66.32,17,19,47.22,49511356.0
6a932b5bcd944524379edfae,THARANIVENTHAN M S,Lok Sabha,Tamil Nadu,ARANI,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,168337124.35,111315790.0,66.13,180,137,56.78,57021334.35
6a932b5bcd944524379ede96,KAMLESH JANGDE,Lok Sabha,Chhattisgarh,JANJGIR CHAMPA,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,150384382.11,99411941.0,66.11,254,90,73.84,50972441.11
6a932b5bcd944524379edf3f,SALENG A SANGMA,Lok Sabha,Meghalaya,TURA,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,97120000.0,66.07,130,218,37.36,49880000.0
6a932b5bcd944524379edf13,RAJ BHUSHAN CHOUDHARY,Lok Sabha,Bihar,MUZAFFARPUR,BJP,0,Post Graduate,"Rs 93,49,061 ~ 93 Lacs+",9349061.0,Rs 0 ~,0.0,147000000.0,96375137.0,65.56,77,43,64.17,50624863.0
6a932b5bcd944524379edf1e,Rajkumar Chahar ,Lok Sabha,Uttar Pradesh,FATEHPUR SIKRI,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,96369831.0,65.56,45,5,90.0,50630169.0
6a932b5bcd944524379edf34,RICHARD VANLALHMANGAIHA,Lok Sabha,Mizoram,MIZORAM,Sitting / Incumbent Member,0,Graduate,"Rs 3,50,00,000 ~ 3.5 Crore+",35000000.0,"Rs 25,00,000 ~ 25 Lacs+",2500000.0,147000000.0,96361729.0,65.55,134,132,50.38,50638271.0
