constituency,state,projectCount,totalAmount
MUZAFFARNAGAR,Uttar Pradesh,281,154027519.0
MUZAFFARPUR,Bihar,193,176292561.0
MYSORE,Karnataka,294,162575000.0
NABARANGPUR,Odisha,504,169742179.0
NAGALAND,Nagaland,71,196000000.0
NAGAPATTINAM,Tamil Nadu,163,164490094.0
NAGARKURNOOL,Telangana,420,170985090.0
NAGAUR,Rajasthan,432,191022535.0
NAGINA,Uttar Pradesh,751,170489060.0
NAGPUR,Maharashtra,107,199498434.0
NAINITAL UDHAM SINGH NAG.,Uttarakhand,785,210931855.92
NALANDA,Bihar,454,159972226.0
NALGONDA,Telangana,316,132991530.0
NAMAKKAL,Tamil Nadu,308,229361087.0
NANDED,Maharashtra,290,210728883.28
NANDURBAR,Maharashtra,334,185033415.0
NANDYAL,Andhra Pradesh,336,172297157.87
NARASAPURAM,Andhra Pradesh,105,91527978.0
NARASARAOPET,Andhra Pradesh,241,152118867.0
NASHIK,Maharashtra,229,199519343.0
NAVSARI,Gujarat,568,195959705.0
NAWADA,Bihar,424,202987404.0
NELLORE,Andhra Pradesh,248,191255735.0
NEW DELHI,Delhi,140,167713472.0
NILGIRIS,Tamil Nadu,238,188277826.0
NIZAMABAD,Telangana,916,265293027.0
Nominated Rajya Sabha,Andhra Pradesh,195,168209842.0
Nominated Rajya Sabha,Jammu And Kashmir,185,146988063.89
Nominated Rajya Sabha,Tamil Nadu,27,51548688.0
Nominated Rajya Sabha,Karnataka,484,275291430.0
Nominated Rajya Sabha,Kerala,156,161132739.0
Nominated Rajya Sabha,Chandigarh,24,21179021.0
Nominated Rajya Sabha,Delhi,10,20904625.0
Nominated Rajya Sabha,West Bengal,6,9510271.0
NORTH EAST DELHI,Delhi,64,170364248.0
NORTH GOA,Goa,161,248533365.61
NORTH WEST DELHI,Delhi,154,143222239.0
NOWGONG,Assam,353,144284815.0
ONGOLE,Andhra Pradesh,366,204568254.0
OSMANABAD,Maharashtra,445,273021155.0
